Customer ID,Customer Name,Segment,Category,Sub-Category,Sales
CG-12520,Claire Gute,Consumer,Furniture,Bookcases,261.96
CG-12520,Claire Gute,Consumer,Furniture,Chairs,731.94
DV-13045,Darrin Van Huff,Corporate,Office Supplies,Labels,14.62
SO-20335,Sean O'Donnell,Consumer,Furniture,Tables,957.5775
SO-20335,Sean O'Donnell,Consumer,Office Supplies,Storage,22.368
BH-11710,Brosina Hoffman,Consumer,Furniture,Furnishings,48.86
BH-11710,Brosina Hoffman,Consumer,Office Supplies,Art,7.28
BH-11710,Brosina Hoffman,Consumer,Technology,Phones,907.152
BH-11710,Brosina Hoffman,Consumer,Office Supplies,Binders,18.504
BH-11710,Brosina Hoffman,Consumer,Office Supplies,Appliances,114.9
BH-11710,Brosina Hoffman,Consumer,Furniture,Tables,1706.184
BH-11710,Brosina Hoffman,Consumer,Technology,Phones,911.424
AA-10480,Andrew Allen,Consumer,Office Supplies,Paper,15.552
IM-15070,Irene Maddox,Consumer,Office Supplies,Binders,407.976
HP-14815,Harold Pawlan,Home Office,Office Supplies,Appliances,68.81
HP-14815,Harold Pawlan,Home Office,Office Supplies,Binders,2.544
PK-19075,Pete Kriz,Consumer,Office Supplies,Storage,665.88
AG-10270,Alejandro Grove,Consumer,Office Supplies,Storage,55.5
ZD-21925,Zuschuss Donatelli,Consumer,Office Supplies,Art,8.56
ZD-21925,Zuschuss Donatelli,Consumer,Technology,Phones,213.48
ZD-21925,Zuschuss Donatelli,Consumer,Office Supplies,Binders,22.72
KB-16585,Ken Black,Corporate,Office Supplies,Art,19.46
KB-16585,Ken Black,Corporate,Office Supplies,Appliances,60.34
SF-20065,Sandra Flanagan,Consumer,Furniture,Chairs,71.372
EB-13870,Emily Burns,Consumer,Furniture,Tables,1044.63
EH-13945,Eric Hoffmann,Consumer,Office Supplies,Binders,11.648
EH-13945,Eric Hoffmann,Consumer,Technology,Accessories,90.57
TB-21520,Tracy Blumstein,Consumer,Furniture,Bookcases,3083.43
TB-21520,Tracy Blumstein,Consumer,Office Supplies,Binders,9.618
TB-21520,Tracy Blumstein,Consumer,Furniture,Furnishings,124.2
TB-21520,Tracy Blumstein,Consumer,Office Supplies,Envelopes,3.264
